id,date,tweet,fav
50,2/22/2016 21:42,b'RT @GhanaSingsNet: #deadpool is the best #lovestory of all time.\n\n#comic #comics #deadpoolmovie #deadpoolcosplay #deadpoetssociety #lo\xe2\x80\xa6 htt\xe2\x80\xa6',0
51,2/22/2016 21:40,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0
52,2/22/2016 21:38,"b""RT @reeldudereviews: It's everything we dreamed and more. #Deadpool review is live! https://t.co/nO8Xc3PB6n #DeadpoolMovie https://t.co/wBm\xe2\x80\xa6""",0
53,2/22/2016 21:33,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
54,2/22/2016 21:29,b'RT @JakePortis: Deadpool is bloody hilarious ... Great laugh ! You must watch it for bants ... #DeadpoolMovie #Ad',0
55,2/22/2016 21:28,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
56,2/22/2016 21:27,"b""RT @AUfan1983: So I've seen #DeadpoolMovie 3 times..Its just as funny as it was the first time.  Definitely one of the best comic movies.""",0
57,2/22/2016 21:24,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
58,2/22/2016 21:19,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
59,2/22/2016 21:14,b'#deadpool is the best #lovestory of all time.\n\n#comic #comics #deadpoolmovie #deadpoolcosplay #deadpoetssociety #lo\xe2\x80\xa6 https://t.co/HN3235JZQj',1
60,2/22/2016 21:09,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
61,2/22/2016 21:09,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
62,2/22/2016 21:07,b'The different between #deadpoolmovie vs these other movies is that #DeadPool was more difficult to create.... https://t.co/MDtjKwhn94',2
63,2/22/2016 21:07,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
64,2/22/2016 21:06,b'The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',12
65,2/22/2016 21:02,"b""RT @rogersdoritos: W:  how you know that she's here?\nW: because i'm constantly stalking her fucks \n#DeadpoolMovie""",0
66,2/22/2016 20:52,"b""RT @rogersdoritos: Omg I'm sorry and I'm so confuse , is sexist if I hit you or is sexist if I don't hit you , the line is pretty blur \n#De\xe2\x80\xa6""",0
67,2/22/2016 20:50,"b""RT @rogersdoritos: Omg I'm sorry and I'm so confuse , is sexist if I hit you or is sexist if I don't hit you , the line is pretty blur \n#De\xe2\x80\xa6""",0
68,2/22/2016 20:47,"b""Omg I'm sorry and I'm so confuse , is sexist if I hit you or is sexist if I don't hit you , the line is pretty blur \n#DeadpoolMovie""",0
69,2/22/2016 20:47,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
70,2/22/2016 20:40,"b""W:  how you know that she's here?\nW: because i'm constantly stalking her fucks \n#DeadpoolMovie""",0
71,2/22/2016 20:40,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
72,2/22/2016 20:32,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
73,2/22/2016 20:32,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
74,2/22/2016 20:31,b'RT @zak9attack: @TexasTechSPS with the DAB before Deadpool #DabPool #DeadpoolMovie https://t.co/JeOtndwXvY',0
75,2/22/2016 20:29,"b""RT @InstallBase: You know what? #DeadpoolMovie humor reminds me of SpaceBalls and I F***in' LOVE SpaceBalls!!!""",0
76,2/22/2016 20:28,"b""You know what? #DeadpoolMovie humor reminds me of SpaceBalls and I F***in' LOVE SpaceBalls!!!""",4
77,2/22/2016 20:25,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
78,2/22/2016 20:24,b'RT @cinziaglambert: Hi @VancityReynolds I looked #DeadpoolMovie well... Amazing hahahah and you are a good actor \xf0\x9f\x98\x89\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99',0
79,2/22/2016 20:23,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
80,2/22/2016 20:20,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
81,2/22/2016 20:16,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
82,2/22/2016 20:09,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
83,2/22/2016 20:05,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
84,2/22/2016 20:04,"b""Debating if I should watch #DeadpoolMovie again\n\nHahaha. There was no debate silly! It's on like Donkey Kong dot com https://t.co/krv7RlbsbV""",4
85,2/22/2016 20:03,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
86,2/22/2016 20:00,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
87,2/22/2016 19:58,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
88,2/22/2016 19:54,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
89,2/22/2016 19:52,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
90,2/22/2016 19:52,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
91,2/22/2016 19:52,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
92,2/22/2016 19:51,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
